Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
A1,Gin,N/A,Cocktail glass,N/A,Gin,1 3/4 shot ,Grand Marnier,1 Shot ,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,,,,,,,,,,,,,,,,,,,,,,"1: Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",,,,,,,,,,,,,,,,,,,,,,
ABC,Cognac,N/A,Shot glass,N/A,Amaretto,1/3 ,Baileys irish cream,1/3 ,Cognac,1/3 ,,,,,,,,,,,,,,,,,,,,,,,,,1: Layered in a shot glass.,,,,,,,,,,,,,,,,,,,,,,
Ace,Gin,N/A,Martini Glass,N/A,Gin,2 shots ,Grenadine,1/2 shot ,Heavy cream,1/2 shot ,Milk,1/2 shot,Egg White,1/2 Fresh,,,,,,,,,,,,,,,,,,,,,1: Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,,,,,,,,,,,,,,,,,,,,,
ACID,Rum,N/A,Shot glass,N/A,151 proof rum,1 oz Bacardi ,Wild Turkey,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,,,,,,,,,,,,,,,,,,,,,,
Adam,Rum,N/A,Cocktail glass,N/A,Dark rum,2 oz ,Lemon juice,1 oz ,Grenadine,1 tsp ,,,,,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
AT&T,Vodka,N/A,Highball Glass,N/A,Absolut Vodka,1 oz ,Gin,1 oz ,Tonic water,4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour Vodka and Gin over ice, add Tonic and Stir.",,,,,,,,,,,,,,,,,,,,,,
A. J.,Other,N/A,Cocktail glass,N/A,Applejack,1 1/2 oz ,Grapefruit juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Affair,Schnapps,N/A,Highball glass,N/A,Strawberry schnapps,2 oz ,Orange juice,2 oz ,Cranberry juice,2 oz ,Club soda,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour schnapps, orange juice, and cranberry juice over ice in a highball glass.",2: Top with club soda and serve.,,,,,,,,,,,,,,,,,,,,,
Avalon,Vodka,N/A,Highball glass,N/A,Vodka,3 parts,Pisang Ambon,1 part ,Apple juice,6 parts ,Lemon juice,1 1/2 part ,Lemonade,,,,,,,,,,,,,,,,,,,,,,1: Fill a tall glass with ice.,"2: Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade.",3: Stir slightly and garnish with a spiralled cucumber skin and a red cherry.,4: The cucumber provides zest and looks attractive.,"5: This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",,,,,,,,,,,,,,,,,,
Abilene,Rum,N/A,Highball glass,N/A,Dark rum,1 1/2 oz ,Peach nectar,2 oz ,Orange juice,3 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all of the ingredients into a highball glass almost filled with ice cubes.,2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Addison,Gin,N/A,Martini Glass,N/A,Gin,1 1/2 shot ,Vermouth,1 1/2 shot ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake together all the ingredients and strain into a cold glass.,,,,,,,,,,,,,,,,,,,,,,
